"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern Type","Recommendation"
"252","cute","Low",0,"free","Summer","boat-neck","sleeveless","natural","cotton","batik","hollowout","print","0"
"253","party","very-high",5,"M","Spring","slash-neck","sleeveless","natural","chiffonfabric","chiffon","flowers","solid","1"
"254","Casual","Average",4.9,"M","Autumn","v-neck","sleeveless","natural","polyster","chiffon","ruffles","striped","1"
"255","party","very-high",0,"L","Winter","v-neck","sleeveless","natural","polyster","tulle","beading","solid","0"
"256","party","very-high",0,"M","Winter","v-neck","cap-sleeves","empire","polyster","chiffon","lace","patchwork","0"
"257","Casual","Low",4.4,"M","Winter","v-neck","turndowncollor","natural","cotton","worsted","button","solid","1"
"258","party","very-high",0,"M","Spring","v-neck","threequater","natural","lycra","satin","applique","solid","1"
"259","party","High",0,"M","Winter","Sweetheart","sleeveless","natural","nylon","chiffon","pearls","solid","0"
"260","party","High",0,"M","Spring","Sweetheart","sleeveless","princess","nylon","satin","pearls","solid","0"
"261","party","Average",5,"M","Winter","o-neck","cap-sleeves","empire","polyster","chiffon","lace","patchwork","1"
"262","party","High",4.7,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","flowers","solid","0"
"263","party","Average",4.8,"free","Winter","o-neck","sleeveless","empire","polyster","chiffon","embroidary","solid","1"
"264","party","Average",4.5,"L","Summer","o-neck","full","natural","rayon","chiffon","hollowout","solid","1"
"265","party","very-high",4.9,"M","Spring","Sweetheart","sleeveless","empire","silk","chiffon","beading","solid","1"
"266","party","High",4.6,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","flowers","striped","0"
"267","party","Average",5,"M","Spring","Sweetheart","sleeveless","natural","polyster","chiffon","pleat","solid","1"
"268","party","very-high",4.8,"L","Spring","Sweetheart","sleeveless","empire","microfiber","organza","beading","solid","1"
"269","party","very-high",0,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","beading","solid","1"
"270","party","High",4.6,"L","Spring","slash-neck","sleeveless","empire","silk","chiffon","beading","solid","0"
"271","party","Average",4.8,"L","Spring","Sweetheart","sleeveless","empire","polyster","chiffon","pleat","solid","1"
"272","party","Medium",4.6,"S","Winter","Scoop","short","empire","cotton","lace","crystal","patchwork","0"
"273","party","very-high",4.9,"M","Spring","Sweetheart","sleeveless","natural","silk","chiffon","beading","solid","1"
"274","party","Medium",4.8,"S","Spring","v-neck","sleeveless","empire","silk","chiffon","crystal","solid","1"
"275","party","very-high",4.2,"L","Winter","v-neck","sleeveless","empire","polyster","chiffon","lace","solid","1"
"276","Casual","Low",4.4,"free","Summer","o-neck","sleeveless","natural","milksilk","chiffon","sashes","animal","1"
"277","party","very-high",4.1,"M","Winter","Scoop","short","natural","cotton","lace","applique","solid","1"
"278","party","very-high",0,"M","Winter","o-neck","full","natural","cashmere","knitted","feathers","solid","1"
"279","Casual","High",4.6,"M","Summer","Sweetheart","sleeveless","empire","cotton","chiffon","beading","solid","1"
"280","party","Average",4.7,"free","Winter","o-neck","sleeveless","natural","polyster","chiffon","embroidary","solid","0"
"281","party","very-high",4.7,"L","Winter","slash-neck","sleeveless","empire","viscos","chiffon","beading","solid","1"
"282","party","very-high",4.5,"M","Spring","v-neck","cap-sleeves","natural","cotton","chiffon","lace","solid","1"
"283","party","Average",4.7,"free","Spring","Sweetheart","sleeveless","empire","rayon","chiffon","beading","solid","1"
"284","party","High",4.8,"M","Summer","Sweetheart","sleeveless","princess","nylon","satin","pearls","solid","1"
"285","party","High",4.6,"M","Summer","slash-neck","sleeveless","natural","nylon","chiffon","pearls","solid","1"
"286","party","Medium",4.7,"M","Winter","o-neck","sleeveless","empire","cotton","chiffon","button","solid","1"
"287","cute","Average",4.4,"free","Spring","Sweetheart","sleeveless","empire","spandex","tulle","ruched","solid","1"
"288","party","Average",5,"M","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","flowers","solid","1"
"289","party","very-high",4.8,"free","Spring","Sweetheart","sleeveless","natural","polyster","chiffon","beading","solid","1"
"290","party","Medium",4.8,"M","Spring","o-neck","sleeveless","natural","silk","chiffon","crystal","solid","1"
"291","party","very-high",4.9,"L","Spring","slash-neck","sleeveless","natural","chiffonfabric","chiffon","flowers","solid","1"
"292","party","Medium",0,"free","Winter","v-neck","short","empire","polyster","chiffon","lace","solid","1"
"293","work","Average",5,"free","Winter","o-neck","half","natural","microfiber","broadcloth","applique","solid","0"
"294","party","very-high",4.9,"M","Spring","v-neck","sleeveless","empire","silk","satin","beading","solid","1"
"295","Casual","High",5,"free","Summer","v-neck","sleeveless","natural","nylon","chiffon","pearls","print","1"
"296","Casual","very-high",0,"small","Spring","o-neck","full","natural","polyster","chiffon","applique","print","0"
"297","Casual","Medium",4.7,"M","Spring","o-neck","sleeveless","natural","cotton","chiffon","bow","print","1"
"298","party","Average",0,"M","Spring","v-neck","sleeveless","natural","rayon","chiffon","beading","solid","1"
"299","Casual","Average",4.4,"free","Summer","slash-neck","sleeveless","empire","cotton","Corduroy","lace","solid","1"
"300","Casual","very-high",4.6,"M","Winter","o-neck","short","natural","polyster","chiffon","flowers","patchwork","1"
"301","Casual","Low",4.4,"free","Winter","halter","sleeveless","natural","silk","worsted","draped","solid","1"
"302","party","High",4.5,"M","Winter","o-neck","sleeveless","natural","polyster","chiffon","flowers","solid","1"
"303","Casual","Average",4.8,"free","Summer","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"304","Sexy","Average",5,"M","Summer","o-neck","sleeveless","natural","polyster","broadcloth","rivet","solid","0"
"305","vintage","Average",4.9,"free","Summer","o-neck","turndowncollor","empire","cotton","batik","hollowout","print","0"
"306","vintage","Average",4.7,"S","Summer","turndowncollor","short","empire","cotton","jersey","pockets","solid","0"
"307","work","Average",4.9,"M","Summer","square-collor","halfsleeve","empire","polyster","satin","sashes","solid","0"
"308","Casual","Low",4.7,"L","Spring","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","0"
"309","Casual","Average",4.8,"L","Autumn","o-neck","short","natural","cashmere","chiffon","embroidary","print","0"
"310","Sexy","Low",4.7,"free","Spring","v-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","1"
"311","Casual","Average",0,"S","Winter","slash-neck","halfsleeve","natural","nylon","broadcloth","lace","solid","0"
"312","Casual","Average",4.2,"S","Winter","v-neck","sleeveless","empire","other","chiffon","hollowout","patchwork","0"
"313","Novelty","Average",0,"free","Summer","o-neck","full","natural","cotton","satin","hollowout","solid","0"
"314","Casual","Low",4.3,"free","Summer","backless","sleeveless","empire","chiffonfabric","chiffon","crystal","print","0"
"315","Casual","Average",3.7,"M","Summer","boat-neck","sleeveless","natural","linen","dobby","lace","solid","0"
"316","Casual","Average",5,"free","Winter","o-neck","sleeveless","natural","polyster","broadcloth","lace","solid","1"
"317","Sexy","Low",5,"free","Spring","v-neck","sleeveless","empire","cotton","chiffon","sequined","solid","0"
"318","cute","Low",0,"free","Winter","o-neck","sleeveless","natural","lycra","chiffon","hollowout","solid","0"
"319","vintage","Average",4.8,"M","Summer","v-neck","full","natural","rayon","poplin","beading","print","1"
"320","bohemian","Average",4.8,"L","Winter","o-neck","sleeveless","natural","polyster","chiffon","none","solid","0"
"321","bohemian","Average",0,"free","Spring","o-neck","sleeveless","natural","rayon","chiffon","none","striped","1"
"322","Sexy","Average",4.5,"M","Summer","bowneck","sleeveless","natural","cotton","chiffon","rivet","solid","0"
"323","Novelty","Medium",4.2,"M","Winter","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","animal","1"
"324","Casual","Low",5,"free","Spring","v-neck","full","natural","cotton","worsted","lace","solid","1"
"325","Casual","Average",5,"L","Winter","o-neck","threequater","natural","polyster","broadcloth","applique","solid","0"
"326","Casual","Low",4.8,"M","Winter","v-neck","sleeveless","natural","polyster","chiffon","ruffles","print","0"
"327","bohemian","Low",5,"free","Spring","o-neck","short","natural","nylon","jersey","sashes","print","1"
"328","Casual","Low",5,"free","Spring","bowneck","sleeveless","natural","silk","chiffon","applique","print","0"
"329","Casual","Low",5,"M","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","sashes","solid","1"
"330","cute","Average",4.3,"M","Summer","o-neck","short","natural","cotton","chiffon","rivet","solid","0"
"331","Novelty","Average",0,"free","Winter","o-neck","short","natural","polyster","broadcloth","lace","solid","1"
"332","cute","Low",0,"L","Spring","o-neck","sleeveless","empire","chiffonfabric","chiffon","bow","print","1"
"333","Sexy","Low",4.8,"free","Spring","slash-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","0"
"334","Sexy","Low",4.8,"free","Summer","slash-neck","sleeveless","empire","silk","Corduroy","lace","solid","0"
"335","Casual","Low",4.4,"M","Winter","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"336","Casual","Average",4.5,"M","Winter","o-neck","sleeveless","natural","polyster","chiffon","ruched","striped","0"
"337","Casual","Low",4.7,"S","Summer","o-neck","full","natural","cotton","chiffon","ruffles","patchwork","0"
"338","Casual","Low",4.4,"free","Spring","o-neck","sleeveless","natural","polyster","chiffon","sashes","print","0"
"339","work","Average",4.9,"M","Winter","slash-neck","short","natural","polyster","broadcloth","ruffles","solid","0"
"340","cute","Medium",4.6,"free","Spring","o-neck","short","natural","chiffonfabric","chiffon","hollowout","solid","1"
"341","Casual","Low",4.7,"free","Spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print","0"
"342","Casual","Low",4.7,"M","Winter","o-neck","full","empire","polyster","chiffon","applique","print","1"
"343","Casual","Average",4.8,"M","Spring","o-neck","sleeveless","natural","cotton","chiffon","hollowout","print","0"
"344","Sexy","Low",4.8,"L","Summer","o-neck","sleeveless","natural","cotton","jersey","sashes","solid","1"
"345","Casual","Average",4.3,"M","Spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","solid","1"
"346","Casual","Average",4.7,"XL","Winter","v-neck","short","empire","milksilk","broadcloth","applique","print","0"
"347","Casual","Low",0,"L","Winter","v-neck","full","natural","mix","worsted","applique","solid","0"
"348","Sexy","Average",4.7,"M","Autumn","slash-neck","sleeveless","natural","nylon","chiffon","rivet","solid","0"
"349","Casual","Low",4.7,"free","Winter","o-neck","sleeveless","natural","silk","chiffon","sashes","print","1"
"350","Casual","High",0,"L","Winter","v-neck","full","natural","polyster","chiffon","ruffles","solid","0"
"351","Casual","Low",4.7,"L","Summer","o-neck","sleeveless","natural","silk","worsted","lace","patchwork","0"
"352","Casual","Average",4.7,"free","Summer","v-neck","full","natural","cotton","chiffon","sashes","solid","0"
"353","Casual","Average",0,"free","Winter","v-neck","full","natural","cashmere","knitted","feathers","solid","1"
"354","Casual","Low",4.7,"free","Summer","o-neck","cap-sleeves","natural","chiffonfabric","chiffon","bow","print","1"
"355","Casual","Average",4.7,"M","Summer","o-neck","threequater","natural","chiffonfabric","chiffon","ruched","solid","0"
"356","Sexy","Low",4.5,"free","Summer","slash-neck","sleeveless","empire","polyster","Corduroy","lace","solid","0"
"357","vintage","Low",4,"free","Summer","turndowncollor","short","natural","cotton","woolen","hollowout","solid","0"
"358","Sexy","Low",4.7,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","0"
"359","bohemian","Low",5,"free","Summer","o-neck","sleeveless","empire","cotton","broadcloth","tassel","print","1"
"360","Casual","Low",4.7,"S","Winter","o-neck","sleeveless","natural","knitting","worsted","lace","solid","0"
"361","Sexy","Average",4.5,"S","Winter","v-neck","sleeveless","natural","polyster","broadcloth","lace","patchwork","0"
"362","cute","Average",4.7,"M","Summer","o-neck","sleeveless","natural","chiffonfabric","chiffon","sashes","splice","0"
"363","vintage","Low",0,"free","Summer","o-neck","sleeveless","natural","cotton","batik","hollowout","print","1"
"364","Casual","Average",4.1,"L","Winter","o-neck","sleeveless","natural","polyster","chiffon","hollowout","solid","1"
"365","Casual","Average",4.2,"M","Winter","v-neck","full","empire","polyster","chiffon","lace","patchwork","1"
"366","Brief","Average",4.8,"free","Winter","v-neck","halfsleeve","natural","polyster","broadcloth","embroidary","solid","0"
"367","Brief","Average",4.9,"free","Winter","o-neck","sleeveless","natural","polyster","broadcloth","embroidary","solid","0"
"368","Sexy","Average",4.8,"S","Winter","v-neck","sleeveless","empire","polyster","chiffon","lace","solid","0"
"369","Casual","Average",4.7,"L","Winter","o-neck","sleeveless","natural","polyster","chiffon","sashes","patchwork","0"
"370","vintage","Average",4.7,"M","Summer","v-neck","short","natural","rayon","poplin","beading","print","0"
"371","Casual","Average",4.8,"free","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid","0"
"372","Sexy","Low",4.7,"M","Winter","v-neck","sleeveless","natural","polyster","chiffon","ruched","striped","0"
"373","Casual","Average",5,"s","Spring","turndowncollor","full","empire","cotton","worsted","button","solid","0"
"374","Casual","Low",1,"M","Spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print","0"
"375","Sexy","Average",4.1,"free","Summer","v-neck","sleeveless","natural","cotton","worsted","lace","striped","1"
"376","Casual","Low",4,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","hollowout","print","0"
"377","work","Average",4.7,"M","Spring","v-neck","sleeveless","natural","polyster","chiffon","ruffles","solid","1"
"378","cute","Average",4.6,"free","Spring","v-neck","full","natural","cotton","chiffon","sashes","solid","1"
"379","Casual","Low",5,"M","Spring","o-neck","sleeveless","natural","spandex","jersey","sashes","print","0"
"380","Casual","Average",4.7,"M","Autumn","v-neck","sleeveless","natural","polyster","chiffon","plain","striped","1"
"381","Casual","Low",4.6,"free","Winter","o-neck","full","natural","polyster","worsted","applique","solid","0"
"382","Casual","Average",4.5,"L","Summer","o-neck","short","natural","cotton","jersey","pockets","solid","0"
"383","cute","Average",4.6,"M","Autumn","o-neck","threequater","natural","silk","chiffon","sashes","print","0"
"384","Casual","Low",4.6,"free","Autumn","o-neck","halfsleeve","natural","chiffonfabric","chiffon","bow","leapord","1"
"385","Casual","Low",4.7,"L","Summer","o-neck","sleeveless","natural","cotton","worsted","lace","solid","1"
"386","Sexy","Low",0,"L","Summer","o-neck","sleeveless","empire","silk","worsted","lace","striped","0"
"387","bohemian","Average",4,"free","Winter","o-neck","sleeveless","natural","polyster","chiffon","ruffles","striped","0"
"388","Casual","Low",4.7,"free","Summer","o-neck","full","natural","cotton","worsted","lace","solid","1"
"389","work","Average",0,"M","Summer","v-neck","sleeveless","natural","cotton","worsted","lace","solid","1"
"390","bohemian","Average",4.1,"free","Summer","o-neck","threequater","natural","cotton","satin","hollowout","solid","0"
"391","Casual","Average",0,"M","Spring","o-neck","halfsleeve","natural","polyster","broadcloth","lace","solid","0"
"392","Brief","Low",4.6,"M","Summer","o-neck","short","natural","cotton","chiffon","ruffles","animal","0"
"393","cute","Low",0,"free","Spring","v-neck","sleeveless","empire","chiffonfabric","chiffon","bow","solid","1"
"394","Casual","Average",5,"M","Spring","o-neck","threequater","natural","spandex","chiffon","ruched","print","0"
"395","Casual","Low",5,"free","Winter","o-neck","full","natural","wool","worsted","applique","solid","0"
"396","vintage","Average",4.5,"L","Winter","o-neck","short","empire","cotton","jersey","sequined","patchwork","1"
"397","Casual","Average",4.5,"free","Summer","o-neck","short","natural","polyster","chiffon","hollowout","solid","0"
"398","bohemian","Low",4.4,"L","Summer","bowneck","short","natural","cotton","chiffon","none","dot","0"
"399","Casual","High",0,"L","Winter","v-neck","threequater","natural","polyster","chiffon","ruffles","solid","1"
"400","Casual","Average",4.8,"free","Winter","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"401","Brief","Low",4.7,"M","Winter","o-neck","full","natural","cotton","chiffon","bow","patchwork","0"
"402","Casual","Medium",0,"free","Winter","bowneck","full","natural","cashmere","knitted","feathers","solid","1"
"403","Casual","Average",4.7,"M","Winter","o-neck","short","empire","polyster","shiffon","applique","animal","0"
"404","party","Average",0,"M","Summer","o-neck","full","natural","cotton","chiffon","ruffles","patchwork","1"
"405","bohemian","Average",4.8,"S","Summer","v-neck","short","natural","cotton","chiffon","none","solid","0"
"406","Sexy","Average",4.9,"free","Summer","square-collor","sleeveless","natural","polyster","chiffon","sashes","print","0"
"407","Casual","Average",3,"M","Spring","turndowncollor","short","empire","polyster","chiffon","sashes","patchwork","0"
"408","Casual","Low",4.7,"L","Autumn","o-neck","short","natural","polyster","shiffon","bow","patchwork","1"
"409","Casual","Average",4.3,"M","Autumn","o-neck","sleeveless","natural","polyster","chiffon","plain","solid","0"
"410","Casual","Average",0,"XL","Winter","v-neck","short","empire","polyster","shiffon","pockets","solid","1"
"411","Casual","Low",5,"free","Summer","o-neck","sleeveless","natural","modal","jersey","plain","solid","1"
"412","vintage","Average",0,"L","Summer","square-collor","short","empire","cotton","chiffon","Tiered","dot","1"
"413","Casual","Low",4.7,"free","Winter","o-neck","sleeveless","natural","milksilk","chiffon","sashes","animal","0"
"414","vintage","Average",5,"M","Summer","v-neck","threequater","natural","polyster","chiffon","ruffles","print","0"
"415","Casual","Low",4.7,"L","Summer","o-neck","full","natural","mix","worsted","lace","patchwork","1"
"416","bohemian","Average",4.6,"M","Spring","o-neck","sleeveless","natural","chiffonfabric","shiffon","sashes","solid","0"
"417","party","Average",4.8,"M","Summer","o-neck","full","natural","cotton","worsted","button","solid","1"
"418","bohemian","Low",4.6,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","beading","solid","0"
"419","party","very-high",4.6,"free","Summer","o-neck","sleeveless","empire","rayon","chiffon","hollowout","solid","0"
"420","cute","Low",4.8,"M","Spring","o-neck","short","natural","chiffonfabric","shiffon","bow","dot","1"
"421","vintage","Average",0,"M","Spring","o-neck","halfsleeve","empire","polyster","broadcloth","lace","animal","0"
"422","Casual","Medium",4.9,"L","Winter","o-neck","short","natural","cotton","broadcloth","sashes","solid","0"
"423","Casual","Average",4.2,"free","Summer","o-neck","sleeveless","natural","cotton","worsted","lace","striped","1"
"424","Casual","Average",4.9,"M","Summer","o-neck","short","dropped","cotton","chiffon","ruffles","patchwork","0"
"425","bohemian","Low",5,"XL","Spring","v-neck","threequater","natural","nylon","shiffon","tassel","print","1"
"426","Casual","Average",4.7,"M","Summer","o-neck","sleeveless","natural","cotton","chiffon","ruffles","dot","0"
"427","Casual","Average",0,"free","Summer","bowneck","halfsleeve","natural","cotton","chiffon","hollowout","solid","0"
"428","Casual","Average",0,"free","Summer","o-neck","sleeveless","natural","cotton","worsted","lace","floral","0"
"429","Sexy","Medium",0,"free","Winter","o-neck","sleeveless","natural","polyster","knitted","sequined","solid","0"
"430","Sexy","Low",4.4,"free","Autumn","v-neck","sleeveless","natural","cotton","worsted","lace","solid","0"
"431","Sexy","Average",0,"free","Spring","v-neck","full","natural","cotton","woolen","lace","solid","1"
"432","Brief","Average",4.9,"XL","Spring","slash-neck","full","natural","mix","chiffon","sashes","solid","0"
"433","Casual","Average",4.7,"XL","Summer","v-neck","halfsleeve","natural","silk","broadcloth","applique","print","1"
"434","Casual","Average",0,"free","Autumn","v-neck","full","natural","cotton","worsted","lace","solid","0"
"435","Casual","Average",4.8,"M","Summer","v-neck","full","natural","polyster","shiffon","lace","animal","0"
"436","Casual","Medium",4.9,"L","Spring","square-collor","sleeveless","empire","cotton","jersey","Tiered","print","0"
"437","party","Average",4.7,"M","Spring","o-neck","halfsleeve","empire","polyster","shiffon","lace","patchwork","0"
"438","Sexy","Low",4.4,"free","Summer","bowneck","sleeveless","natural","viscos","chiffon","bow","solid","0"
"439","bohemian","Low",4.6,"free","Winter","o-neck","sleeveless","empire","polyster","chiffon","none","patchwork","1"
"440","Casual","Low",4.6,"free","Autumn","o-neck","full","natural","rayon","worsted","lace","solid","1"
"441","Sexy","Low",4.5,"free","Summer","o-neck","sleeveless","empire","cotton","chiffon","sashes","solid","1"
"442","Sexy","Low",0,"free","Winter","v-neck","full","dropped","cotton","woolen","lace","leopard","1"
"443","Casual","Average",0,"XL","Spring","bowneck","sleeveless","natural","mix","worsted","lace","solid","0"
"444","Sexy","Average",0,"free","Autumn","o-neck","full","natural","polyster","satin","hollowout","solid","0"
"445","Sexy","Low",4.8,"free","Spring","v-neck","sleeveless","natural","silk","worsted","lace","striped","1"
"446","Brief","Low",4.7,"free","Autumn","o-neck","sleeveless","natural","cotton","shiffon","sequined","solid","0"
"447","Sexy","High",5,"M","Summer","v-neck","sleeveless","natural","mix","chiffon","pearls","striped","0"
"448","Casual","Average",4.6,"L","Summer","bowneck","full","dropped","cotton","jersey","pockets","patchwork","0"
"449","cute","Medium",4.9,"S","Summer","bowneck","sleeveless","empire","viscos","chiffon","bow","patchwork","1"
"450","Novelty","Average",4.9,"M","Autumn","o-neck","short","natural","polyster","chiffon","none","print","0"
"451","Casual","Low",4.3,"free","Spring","o-neck","full","natural","cotton","chiffon","sashes","none","1"
"452","Casual","Low",4.7,"S","Autumn","o-neck","sleeveless","natural","cotton","worsted","lace","solid","0"
"453","Casual","Average",4.8,"L","Autumn","boat-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"454","cute","Average",4.5,"L","Winter","v-neck","sleeveless","natural","polyster","jersey","sashes","solid","1"
"455","Casual","Average",4.4,"free","Summer","o-neck","cap-sleeves","natural","cotton","jersey","pockets","solid","0"
"456","party","Average",0,"M","Spring","o-neck","sleeveless","natural","silk","chiffon","applique","solid","1"
"457","Sexy","Low",0,"free","Summer","v-neck","sleeveless","dropped","silk","worsted","lace","striped","1"
"458","Casual","Low",4.8,"L","Summer","v-neck","threequater","natural","cotton","jersey","applique","print","0"
"459","work","Average",5,"M","Summer","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","1"
"460","Novelty","Average",5,"free","Summer","o-neck","sleeveless","natural","polyster","chiffon","none","print","0"
"461","Casual","Low",4.6,"free","Spring","v-neck","sleeveless","natural","silk","chiffon","draped","solid","0"
"462","Casual","Average",4.5,"M","Summer","o-neck","full","natural","cotton","worsted","lace","solid","0"
"463","Casual","Average",4.5,"L","Spring","boat-neck","threequater","natural","linen","dobby","lace","animal","1"
"464","Casual","Average",4.5,"free","Autumn","o-neck","halfsleeve","natural","cotton","chiffon","hollowout","solid","1"
"465","cute","Low",0,"M","Summer","boat-neck","short","natural","cotton","chiffon","sashes","print","0"
"466","party","Average",4.9,"M","Winter","o-neck","halfsleeve","natural","cotton","broadcloth","lace","solid","1"
"467","Casual","Average",4.8,"M","Summer","o-neck","halfsleeve","natural","polyster","chiffon","ruffles","dot","0"
"468","Casual","Low",4.4,"L","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid","0"
"469","Casual","Average",4.3,"M","Winter","slash-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"470","cute","Average",4.7,"L","Summer","o-neck","sleeveless","natural","polyster","broadcloth","lace","solid","0"
"471","Sexy","Average",0,"S","Summer","v-neck","sleeveless","empire","cotton","broadcloth","sequined","solid","1"
"472","Casual","Low",4.4,"free","Summer","o-neck","sleeveless","natural","milksilk","chiffon","sashes","animal","0"
"473","cute","High",4.3,"M","Spring","boat-neck","full","natural","polyster","terry","lace","solid","1"
"474","work","Average",4.8,"M","Winter","turndowncollor","full","natural","polyster","chiffon","sashes","solid","0"
"475","Casual","Average",4.6,"M","Spring","o-neck","halfsleeve","natural","polyster","chiffon","lace","solid","0"
"476","Sexy","Low",0,"free","Summer","v-neck","sleeveless","empire","cotton","Corduroy","sequined","solid","0"
"477","Casual","High",4.9,"XL","Winter","v-neck","full","empire","cotton","worsted","sequined","solid","0"
"478","Sexy","Low",0,"free","Winter","o-neck","sleeveless","natural","lycra","chiffon","hollowout","solid","0"
"479","cute","Average",5,"M","Autumn","v-neck","sleeveless","natural","cotton","chiffon","rivet","solid","0"
"480","cute","Low",0,"free","Spring","v-neck","sleeveless","natural","silk","worsted","lace","patchwork","1"
"481","Casual","Low",4.4,"free","Summer","o-neck","full","natural","cotton","jersey","pockets","solid","0"
"482","Casual","Average",0,"L","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","sequined","solid","0"
"483","cute","Average",4.7,"M","Spring","o-neck","full","natural","rayon","chiffon","beading","solid","1"
"484","Casual","Average",4.6,"M","Winter","v-neck","halfsleeve","natural","silk","chiffon","sashes","solid","1"
"485","Casual","Low",4.4,"free","Summer","o-neck","full","natural","cotton","jersey","pockets","solid","1"
"486","Casual","Low",5,"M","Autumn","o-neck","sleeveless","empire","polyster","chiffon","ruffles","print","1"
"487","Casual","Average",0,"free","Winter","o-neck","short","natural","polyster","chiffon","cascading","solid","0"
"488","Sexy","Average",0,"free","Winter","slash-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","1"
"489","Casual","Low",4.4,"M","Summer","o-neck","halfsleeve","empire","chiffonfabric","chiffon","bow","solid","0"
"490","cute","Average",0,"L","Summer","o-neck","sleeveless","empire","cotton","worsted","lace","solid","1"
"491","Casual","Low",4.8,"free","Winter","bowneck","full","natural","polyster","chiffon","bow","solid","0"
"492","Casual","Average",5,"L","Summer","o-neck","sleeveless","natural","cotton","jersey","pockets","print","1"
"493","cute","Average",4.6,"M","Spring","o-neck","halfsleeve","natural","acrylic","chiffon","rivet","solid","0"
"494","bohemian","Low",4.6,"free","Summer","o-neck","sleeveless","natural","cotton","chiffon","none","solid","1"
"495","Brief","Average",4.7,"M","Winter","o-neck","halfsleeve","natural","acrylic","chiffon","ruched","striped","0"
"496","Casual","Low",4.7,"M","Spring","o-neck","full","natural","polyster","chiffon","lace","solid","1"
"497","Sexy","Low",4.3,"free","Summer","o-neck","full","empire","cotton","worsted","button","solid","0"
"498","Casual","Average",4.7,"M","Summer","v-neck","full","empire","cotton","worsted","lace","solid","1"
"499","Casual","Average",4.6,"L","Winter","boat-neck","sleeveless","empire","silk","broadcloth","applique","print","1"
"500","Casual","Low",4.4,"free","Summer","v-neck","short","empire","cotton","Corduroy","lace","solid","0"
